elexonBmUnit,nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId
E_ABERDARE,ABERU-1,E_ABERDARE,,,UK Power Reserve Limited,E,TRUE,Aberdare Power Station,UKPR,0,15.4,C,0.0200976,0,0,6.16,6.16,TRUE,FALSE,_K,South Wales,
T_ABRBO-1,ABRBO-1,T_ABRBO-1,48W00000ABRBO-19,WIND,Aberdeen Offshore Wind Farm,T,TRUE,ABRBO-1,ABERDEEN,-2,99,P,-0.0347282,-0.8,-0.8,39.6,39.6,TRUE,FALSE,,,
E_ABRTW-1,ABRTW-1,E_ABRTW-1,48W00000ABRTW-1Z,WIND,Npower Commercial Gas Limited,E,TRUE,Auchrobert Wind Farm,NPOWER02,-10,36,C,-0.0075273,-4,-4,14.4,14.4,TRUE,FALSE,_N,South Scotland,
C__PSMAR001,ACHLW-1,C__PSMAR001,,WIND,Smartestenergy Limited,S,TRUE,C__PSMAR001-AAA-ACH-183,SMARTEST,0,11.282,C,-0.0347282,0,0,4.665,4.665,FALSE,FALSE,_P,North Scotland,
T_ACHRW-1,ACHRW-1,T_ACHRW-1,48W00000ACHRW-1O,WIND,Mobius Renewables Gen. (GB2,T,TRUE,AChruach Wind Farm,AIRGEN2,-2,42.6,P,-0.0347282,-0.8,-0.8,17.04,17.04,TRUE,FALSE,,,
,ACHYW-1,,,WIND,,,,,,,,,,,,,,FALSE,FALSE,,,
T_AFTOW-1,AFTOW-1,T_AFTOW-1,,WIND,Afton Wind Farm Limited,T,TRUE,Afton Wind Farm,AFTON,-2,50,P,-0.0075273,-0.8,-0.8,20,20,TRUE,FALSE,,,
V__BADEL001,AG-ADL00B,V__BADEL001,,,Adela Energy Ltd,V,TRUE,ADELA_SBMU_B,ADELA,0,0,P,0.0088925,0,0,0,0,TRUE,FALSE,_B,East Midlands,
V__MADEL001,AG-ADL01M,V__MADEL001,,,Adela Energy Ltd,V,TRUE,ADELA_SBMU_M,ADELA,0,0,P,-0.0041544,0,0,0,0,TRUE,FALSE,_M,Yorkshire,
V__GADEL001,AG-ADL02G,V__GADEL001,,,Adela Energy Ltd,V,TRUE,ADELA_SBMU_G,ADELA,0,0,P,-0.0032071,0,0,0,0,TRUE,FALSE,_G,North Western,
V__EADEL001,AG-ADL03E,V__EADEL001,,,Adela Energy Ltd,V,TRUE,ADELA_SBMU_E,ADELA,0,0,P,0.0178442,0,0,0,0,TRUE,FALSE,_E,Midlands,
V__JADEL001,AG-ADL04H,V__JADEL001,,,Adela Energy Ltd,V,TRUE,ADELA_SBMU_J,ADELA,0,0,P,0.0113381,0,0,0,0,TRUE,FALSE,_J,South Eastern,
V__HADEL002,AG-ADL05H,V__HADEL002,,,Adela Energy Ltd,V,TRUE,V__HADEL002,ADELA,0,0,P,0.0239908,0,0,0,0,TRUE,FALSE,_H,Southern,
2__AECOT003,AG-AECO01,2__AECOT003,,,ECOTRICITY LIMITED,S,TRUE,ECOT_VPP_10,RENC,0,0,C,0.0027037,0,0,0,0,FALSE,FALSE,_A,Eastern,
2__ALOND001,AG-AEDF01,2__ALOND001,48X000000000095K,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate Eastern 01,LENCO,0,0,C,0.0027037,0,0,0,0,FALSE,FALSE,_A,Eastern,
2__ALOND002,AG-AEDF02,2__ALOND002,,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate Eastern 02,LENCO,0,0,C,0.0049362,0,0,0,0,FALSE,FALSE,_A,Eastern GSP Group,
2__ALOND003,AG-AEDF03,2__ALOND003,,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate East Eng 3,LENCO,0,0,C,0.0027037,0,0,0,0,FALSE,FALSE,_A,Eastern,
2__ALOND004,AG-AEDF04,2__ALOND004,,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate East Eng 4,LENCO,0,0,C,0.0027037,0,0,0,0,FALSE,FALSE,_A,Eastern,
2__AFLEX001,AG-AFLX01,2__AFLEX001,,,Flexitricity Limited,S,TRUE,2__AFLEX001,FLEXTRCY,0,49,C,0.0049362,0,0,10.29,10.29,FALSE,FALSE,_A,Eastern GSP Group,
2__AFLEX002,AG-AFLX02,2__AFLEX002,,,Flexitricity Limited,S,TRUE,2__AFLEX002,FLEXTRCY,0,49,C,0.0049362,0,0,10.29,10.29,FALSE,FALSE,_A,Eastern GSP Group,
2__AFLEX003,AG-AFLX03,2__AFLEX003,,,Flexitricity Limited,S,TRUE,2__AFLEX003,FLEXTRCY,0,49,C,0.0027037,0,0,6.316,6.316,FALSE,FALSE,_A,Eastern,
2__AFLEX004,AG-AFLX04,2__AFLEX004,,,Flexitricity Limited,S,TRUE,2__AFLEX004,FLEXTRCY,-0.312,49,C,0.0027037,-0.025,-0.01,3.935,1.578,FALSE,FALSE,_A,Eastern,
2__AFLEX005,AG-AFLX05,2__AFLEX005,,,Flexitricity Limited,S,TRUE,2__AFLEX005,FLEXTRCY,0,49,C,0.0027037,0,0,3.778,3.778,FALSE,FALSE,_A,Eastern,
2__APOWQ001,AG-AHAR01,2__APOWQ001,48W000AG-AHAR01L,,Hartree Partners Supply UK,S,TRUE,2__APOWQ001,POWQ,-4.2,7.5,C,0.0027037,-1.941,-1.669,3.466,2.981,FALSE,FALSE,_A,Eastern,
2__ALIME000,AG-ALIM01,2__ALIME000,,,Limejump Energy Limited,G,FALSE,2__ALIME000,ANGEL,0,40,C,0.0078652,0,0,8.8,8.8,FALSE,FALSE,_A,Eastern GSP Group,
2__AANGE001,AG-ALIM02,2__AANGE001,,,Limejump Energy Limited,S,FALSE,2__AANGE001,ANGEL,-1,80,C,0.0027037,-0.462,-0.397,36.968,31.792,FALSE,FALSE,_A,Eastern,
2__AANGE002,AG-ALIM03,2__AANGE002,,,Limejump Energy Limited,S,TRUE,2__AANGE002,ANGEL,0,50,C,0.0078652,0,0,11,11,FALSE,FALSE,_A,Eastern GSP Group,
2__AANGE003,AG-ALIM04,2__AANGE003,,,Limejump Energy Limited,S,FALSE,2__AANGE003,ANGEL,0,0,C,0.0027037,0,0,0,0,FALSE,FALSE,_A,Eastern,
2__AMRCY001,AG-AOCT01,2__AMRCY001,,,Octopus Energy Limited,S,TRUE,2__AMRCY001,MERCURY,-12.2,0,C,0.0027037,-4.545,-4.696,0,0,FALSE,FALSE,_A,Eastern,
2__ASTAT001,AG-ASTK01,2__ASTAT001,,,Statkraft Markets Gmbh,S,TRUE,STAT_A2,STATKRA1,0,20,C,0.0027037,0,0,4.4,4.4,FALSE,FALSE,_A,Eastern,
2__ASTAT002,AG-ASTK02,2__ASTAT002,,,Statkraft Markets Gmbh,S,TRUE,STAT_A3,STATKRA1,0,20.743,C,0.0027037,0,0,4.563,4.563,FALSE,FALSE,_A,Eastern,
2__ASTAT003,AG-ASTK03,2__ASTAT003,,,Statkraft Markets Gmbh,S,TRUE,STAT_A4,STATKRA1,-4,42,C,0.0027037,-0.966,-0.379,10.143,3.977,FALSE,FALSE,_A,Eastern,
2__ASTAT004,AG-ASTK04,2__ASTAT004,,,Statkraft Markets Gmbh,S,TRUE,STAT_A5,STATKRA1,-5,5,C,0.0027037,-2.311,-1.987,2.311,1.987,FALSE,FALSE,_A,Eastern,
2__ASTAT005,AG-ASTK05,2__ASTAT005,,,Statkraft Markets Gmbh,S,TRUE,STAT_A6,STATKRA1,-52,50,C,0.0027037,-0.541,-0.504,0.52,0.485,FALSE,FALSE,_A,Eastern,
2__ASTAT006,AG-ASTK06,2__ASTAT006,,,Statkraft Markets Gmbh,S,TRUE,STAT_A7,STATKRA1,-2,20,C,0.0027037,-0.924,-0.795,9.242,7.948,FALSE,FALSE,_A,Eastern,
2__ASTAT007,AG-ASTK07,2__ASTAT007,,,Statkraft Markets Gmbh,S,TRUE,STAT_A8,STATKRA1,-2,20.896,C,0.0027037,-0.924,-0.795,9.656,8.304,FALSE,FALSE,_A,Eastern,
