dataset,documentId,documentRevisionNumber,publishTime,businessType,psrType,year,quantity
IGCA,NGET-EMFIP-IGCA-00687432,1,2024-11-27T11:29:48Z,Installed generation,Wind Onshore,2025,14488.0
IGCA,NGET-EMFIP-IGCA-00687432,1,2024-11-27T11:29:48Z,Installed generation,Wind Offshore,2025,18356.0
IGCA,NGET-EMFIP-IGCA-00687432,1,2024-11-27T11:29:48Z,Installed generation,Solar,2025,10780.0
IGCA,NGET-EMFIP-IGCA-00687432,1,2024-11-27T11:29:48Z,Installed generation,Other renewable,2025,1057.0
IGCA,NGET-EMFIP-IGCA-00687432,1,2024-11-27T11:29:48Z,Installed generation,Other,2025,5181.0
IGCA,NGET-EMFIP-IGCA-00687432,1,2024-11-27T11:29:48Z,Installed generation,Nuclear,2025,6075.0
IGCA,NGET-EMFIP-IGCA-00687432,1,2024-11-27T11:29:48Z,Installed generation,Hydro Run-of-river and poundage,2025,1687.0
IGCA,NGET-EMFIP-IGCA-00687432,1,2024-11-27T11:29:48Z,Installed generation,Hydro Pumped Storage,2025,11080.0
IGCA,NGET-EMFIP-IGCA-00687432,1,2024-11-27T11:29:48Z,Installed generation,Fossil Hard coal,2025,0.0
IGCA,NGET-EMFIP-IGCA-00687432,1,2024-11-27T11:29:48Z,Installed generation,Fossil Gas,2025,40470.0
IGCA,NGET-EMFIP-IGCA-00687432,1,2024-11-27T11:29:48Z,Installed generation,Biomass,2025,4332.0
IGCA,NGET-EMFIP-IGCA-00687243,1,2023-12-04T14:35:50Z,Installed generation,Wind Onshore,2024,14697.0
IGCA,NGET-EMFIP-IGCA-00687243,1,2023-12-04T14:35:50Z,Installed generation,Wind Offshore,2024,13838.0
IGCA,NGET-EMFIP-IGCA-00687243,1,2023-12-04T14:35:50Z,Installed generation,Solar,2024,15896.0
IGCA,NGET-EMFIP-IGCA-00687243,1,2023-12-04T14:35:50Z,Installed generation,Other renewable,2024,542.0
IGCA,NGET-EMFIP-IGCA-00687243,1,2023-12-04T14:35:50Z,Installed generation,Other,2024,203.0
IGCA,NGET-EMFIP-IGCA-00687243,1,2023-12-04T14:35:50Z,Installed generation,Nuclear,2024,6075.0
IGCA,NGET-EMFIP-IGCA-00687243,1,2023-12-04T14:35:50Z,Installed generation,Hydro Run-of-river and poundage,2024,1386.0
IGCA,NGET-EMFIP-IGCA-00687243,1,2023-12-04T14:35:50Z,Installed generation,Hydro Pumped Storage,2024,5891.0
IGCA,NGET-EMFIP-IGCA-00687243,1,2023-12-04T14:35:50Z,Installed generation,Fossil Hard coal,2024,1988.0
IGCA,NGET-EMFIP-IGCA-00687243,1,2023-12-04T14:35:50Z,Installed generation,Fossil Gas,2024,32631.0
IGCA,NGET-EMFIP-IGCA-00687243,1,2023-12-04T14:35:50Z,Installed generation,Biomass,2024,3535.0
